ISBN,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher
0345314247,blue adept apprentice adept paperback,piers anthony,1982,ballantine
0743458036,the royal physicians visit: a novel,per olov enquist,2002,washington square
0671010115,gone fishin : featuring an original easy rawlins short story smoke easy rawlins mysteries paperback,walter mosley,1998,pocket
0486270718,the invisible man dover thrift editions,h g wells,1992,dover
0345260627,splinter of the minds eye,alan dean foster,1978,ballantine
1551669463,the italian,elaine coffman,2002,mira
0843951346,seduced by a rogue,connie mason,2003,leisure
1551666855,the love knot,rebecca brandewyne,2003,mira
0451208412,racing moon,cassie edwards,2003,signet
0843952059,the very virile viking,sandra hill,2003,leisure
0553583565,stealing heaven,madeline hunter,2002,bantam
0804119953,the ways of grace,linda francis lee,2002,ivy
0843950803,reckless embrace leisure historical romance,madeline baker,2002,leisure
0060001445,her highness my wife,victoria alexander,2002,avon
0440236401,the temptress the bride quest,claire delacroix,2001,dell company
0804110867,other peoples skeletons rebecca schwartz mysteries,julie smith,1994,ivy
0743456823,the lives of dax star trek: deep space nine,marco palmieri,2002,star trek
325723273X,richtig leben mit geri weibel,martin suter,2001,diogenes verlag
1568650418,the elric saga pt ii,michael moorcock,1984,doubleday
0394757653,the simple art of murder vintage crime,raymond chandler,1988,vintage
0156005778,mister sandman harvest book,barbara gowdy,1998,harvest
0375727434,hateship friendship courtship loveship marriage : stories,alice munro,2002,vintage
1401068049,revelation and the fall of judea,maurice a williams,2002,xlibris corporation
0425189082,the etruscan chimera archaeological mystery,lyn hamilton,2003,berkley
0671002384,ancient blood: day of honor star trek the next generation,diane carey,1997,star trek
0553240307,sudden death,rita mae brown,1984,bantam doubleday dell
0425143341,curfew,phil rickman,1994,berkley
0812589831,people of the owl first north americans,kathleen oneal gear,2004,forge
0020519109,the old man and the sea a scribner classic,ernest hemingway,1987,collier
0451525078,don quixote of la mancha,miguel de cervantes saavedra,1990,signet
1878067745,solo: on her own adventure,susan fox rogers,1996,seal
0689823517,the dance,richard paul evans,1999,simon & schuster children's
0345302745,speaker of mandarin,ruth rendell,1990,fawcett
0451450876,shadowrun: choose your enemies carefully shadowrun roc,robert n charrette,1996,roc
0743417720,the third witch: a novel,rebecca reisert,2002,washington square
1857027795,diving bell and the butterfly,jean dominiqu bauby,1997,fourth estate
0967224918,bmore careful,shannon holmes,2001,teri woods
3492215416,champagner und kamillentee,franziska stalmann,1992,piper
0425175006,the body on the beach: a fethering mystery fethering mysteries hardcover,simon brett,2000,prime crime
0553378260,rita will: memoir of a literary rabblerouser,rita mae brown,1999,bantam
0500280673,celtic borders,aidan meehan,1999,thames & hudson
3257204833,kleine mordgeschichten faaar tierfreunde,patricia highsmith,1979,diogenes verlag
0385721617,juno juliet: a novel,julian gough,2002,anchor /doubleday
0451150635,different seasons mtv,stephen king,1986,signet
3492225926,das waaaten der ganzen welt,maarten t hart,1999,piper
0684836483,things you can do to make your cat adore you,ingrid newkirk,1998,fireside
0440235758,going overboard,christina skye,2001,island
8807014467,la compagnia,benni,1993,feltrinelli
0590129988,clockwork : or all wound up,philip pullman,1998,scholastic
0451518845,jane eyre,charlotte bronte,1999,new amer library
0345395190,orion arm: the rampart worlds: book may julian rampart worlds bk,julian may,2000,del rey
0440911710,camilla laurel leaf books,madeleine lengle,1982,laure leaf
0156007568,the years with laura diaz,carlos fuentes,2001,harvest
0590997262,the stranger animorphs paperback numbered,katherine applegate,1997,scholastic
0590213040,the andalites gift animorphs : megamorphs,k a applegate,1997,scholastic
1562470043,meet felicity: an american girl : the american girls collection book,valerie tripp,1991,pleasant company
1562475150,meet josefina an american girl american girls collection paper,valerie tripp,1997,pleasant company
8806134817,quel che resta del giorno,kazuo ishiguro,1998,einaudi
0140380361,the root cellar,janet louise swoboda lunn,1996,puffin
1573222623,drinking coffee elsewhere today show book club,zz packer,2003,riverhead
1890159018,the ethical slut: a guide to infinite sexual possibilities,dossie easton,1998,greenery
1561703249,the western guide to feng shui: creating balance harmony and prosperity in your environment feng shui,terah kathryn collins,1996,hay house
0553213539,the invisible man bantam classic,hg wells,1983,bantam
0375704906,some lie and some die vintage crimeblack lizard,ruth rendell,1999,vintage
9722110195,era bom que trocaassemos umas ideias sobre o assunto: romance o campo da palavra,maario de carvalho,1995,caminho
0393308839,flash fiction: very short stories,james thomas,1992,w. w. norton & company
0451524039,diary of a madman,nikolai vasilevich gogol,1994,signet
8475966519,labominable crim de lalsina graells narrativa,pep coll,1999,editorial empaaories
0743200349,the third miracle : a novel,richard vetere,2000,touchstone
0553067966,the simple living guide: a sourcebook for less stressful more joyful living,janet luhrs,1997,broadway
0349100136,if this is a man and the truce,primo levi,1987,abacus
0486415910,a connecticut yankee in king arthurs court dover thrift editions,mark twain,2001,dover
0451138481,life penalty,joy fielding,1994,signet
0525946241,picture maker,penina keen spinka,2002,dutton
2070756319,le dictateur et le hamac,daniel pennac,2003,gallimard
0553263579,the autobiography of miss jane pittman,ernest j gaines,1982,bantam
0441007015,the seven songs of merlin lost years of merlin bk,t a barron,2000,ace
0394717406,out of africa,isak dinesen,1972,random house
1583940634,the diary of a teenage girl: an account in words and pictures,phoebe gloeckner,2002,frog .
0425192695,girls of the summer,barbara bretton,2003,berkley
0440241286,gun monkeys,victor gischler,2003,dell
0553208799,chancellor manuscript,robert ludlum,1981,bantam
0446512923,lord of the dance the passover trilogy,andrew m greeley,1984,warner
0671531409,midsummer nights dream,william shakespeare,1984,pocket
0345309014,second foundation foundation novels paperback,isaac asimov,1983,ballantine
0671888021,lame deer seeker of visions,richard erdoes,1994,pocket
0142002054,diamonds are forever: a james bond novel,ian fleming,2002,penguin
0553142046,dragonsong,anne mccaffrey,1977,bantam doubleday dell
0786889527,night gardening,e l swann,2000,hyperion
0679402470,millroy the magician,paul theroux,1994,random house
067166607X,bambi bambi,felix salten,1988,aladdin
3442353793,des teufels kardinal,allan folsom,2000,goldmann
0380803151,avalanche soldier,susan r matthews,1999,eos
0451205294,fatal care,leonard goldberg,2001,signet
0375503218,my cat spit mcgee,willie morris,1999,random house
056353723X,down to earth: the year of the cornflake down to earth,faith addis,2000,bbc consumer
0812504755,the legend of sleepy hollow,washington irving,1990,tor
0836217616,the child within has been awakened : a cathy collection but the old lady on the outside just collapsed a cathy collection,cathy guisewite,1994,andrews mcmeel
0886777828,the dreaming tree: the dreamstone the tree of swords and jewels,c j cherryh,1997,daw
059045899X,amber brown is not a crayon amber brown paperback,paula danziger,1995,jump at the sun
0758201605,last writes levine laura jaine austen mystery,laura levine,2003,kensington corporation
044022831X,love and other fourletter words laurelleaf books,carolyn mackler,2002,laurel leaf
0060954884,anna and the king of siam,margaret landon,1999,perennial
0312272766,plan b,jonathan tropper,2001,st. martin's griffin
0842343253,nicolae high left behind: the kids,jerry b jenkins,1999,tyndale house
0553574302,the chalice and the blade,glenna mcreynolds,1998,bantam
0440225892,the heiress bride quest series,claire delacroix,1999,dell company
0694014532,heidi book and charm charming classics,johanna spyri,2000,harperfestival
0449131793,barrier island,john d macdonald,1991,fawcett
038548562X,how to choose the sex of your baby: the method best supported by scientific evidence,landrum b md shettles,1997,main street
1891620487,american greats,robert a wilson,1999,publicaffairs
0380820870,shadows of glory,owen parry,2001,harpertorch
0066211085,rebeccas tale,sally beauman,2001,william morrow & company
042517476X,group: six people in search of a life,paul solotaroff,2000,berkley
0393960579,the awakening: an authoritative text biographical and historical contexts criticism a norton critical edition,kate chopin,1994,w. w. norton & company
0553206516,snow leopard,peter matthiessen,1979,bantam
0486282694,winesburg ohio dover thrift editions,sherwood anderson,1995,dover
0140291903,manhattan memoir,mary cantwell,2000,penguin
0590443518,help im a prisoner in the library,eth clifford,1991,scholastic
0842343288,death strike left behind the kids,jerry jenkins,2000,tyndale house
1565120310,daughters of memory,janis arnold,1993,algonquin of chapel hill
0446690295,the bondwomans narrative,hannah crafts,2003,warner
0307157857,cars and trucks and things that go,richard scarry,1998,golden
0553092626,playing for the ashes,elizabeth george,1994,bantam dell
3257229739,tsugumi,banana yoshimoto,1997,diogenes verlag
0684856476,the rum diary : a novel,hunter s thompson,1999,simon & schuster
2742739351,les soldats de salamine,javier cercas,2002,actes sud
8479018682,cuentos para pensar stories to think about,jorge bucay,1997,alfaguara/santillana
0743410246,lesser evil star trek deep space nine: mission gamma book,robert simpson,2002,star trek
0743445643,cathedral star trek deep space nine: mission gamma book,michael a martin,2002,star trek
0743445627,this gray spirit star trek deep space nine: mission gamma book,heather jarman,2002,star trek
0671026364,resurrecting ravana buffy the vampire slayer,ray garton,2000,simon spotlight entertainment
3453149874,das dilbertprinzip,scott adams,1998,heyne
0312980345,second thyme around,katie fforde,2002,st. martin's
0571097103,whitsun weddings,philip larkin,1964,faber & faber
0441006329,the color of distance,amy thomson,1999,ace
0886775744,the book of earth dragon quartet,marjorie b kellogg,1995,daw
042518627X,mister posterior and the genius child,emily jenkins,2002,berkley
1551667533,recipes for easy living,curtiss ann matlock,2003,mira
0553581430,last puzzle testament puzzle lady mysteries paperback,parnell hall,2001,bantam
1551662906,home to eden,dallas schulze,1997,mira
0425196453,the marriage test,betina krahn,2004,berkley
0140254749,medicine river,thomas king,1991,penguin
0385497091,thumbsucker,walter kirn,1999,anchor /doubleday
0071352430,net slaves: true tales of working the web,bill lessard,1999,mcgraw-hill
0375421726,nigger the strange career of a troublesome word,randall kennedy,2002,pantheon
2070368378,eloge de la fessaaae,jacques serguine,1976,gallimard
0965881199,the diaries of adam and eve,mark twain,1998,fair oaks
0393038025,rls dream: a novel,walter mosley,1995,w. w. norton & company
0451525426,arabian nights: the marvels and wonders of the thousand and one nights,jack zipes,1991,signet
055357342X,a storm of swords a song of ice and fire book,george rr martin,2003,spectra
0440211158,skin,kathe koja,1994,dell company
0140262776,criminals,margot livesey,1997,penguin
0385317042,my sisters bones,cathi hanauer,1997,dell
0451184149,my soul to keep,judith hawkes,1997,signet
0679411267,the end of the pier,martha grimes,1992,random house
0312032978,brighten the corner where you are,fred chappell,1989,st martins pr
0060920076,affliction,russell banks,1990,perennial
0802116175,great apes,will self,1997,west
0140298363,mr phillips,john lanchester,2001,penguin
0670871753,the listmaker,robin klein,1997,viking
0380701006,insideoutside book of new york city,herman wouk,1986,avon
0451522303,animal farm,george orwell,1956,signet
0441005152,scales of justice return of the dragon fanuilh,daniel hood,1998,ace
3404136012,wintermond unheimlicher roman,dean koontz,1994,la?aa14bbe
3453092007,die zweite haut,dean koontz,1995,heyne
0373320132,lordhi cliff manor gothic romances,irene m pascoe,1986,harlequin
0575075546,the soddit : or cashing in again gollancz sf s,arrr roberts,2003,gollancz
0330020706,town like alice,nevil shute,1980,pan
0679767959,heartburn,nora ephron,1996,vintage
1568842406,windowsaa for dummiesaa,andy rathbone,1995,john wiley & sons
0849912903,the end of the age: a novel,pat robertson,1995,thomas nelson
0446527696,the edge of town,dorothy garlock,2001,warner
0446609749,getting back,william dietrich,2001,warner
0312155859,mary queen of scotland the isles : a novel,margaret george,1997,st. martin's griffin
0312869061,swell foop xanth novels hardcover,piers anthony,2001,tor
0312873085,elixir,gary braver,2000,st martins pr
0028625757,the complete illustrated guide to everything sold in hardware stores,steve ettlinger,1998,john wiley & sons
0060174056,the tennis partner,a verghese,1998,harpercollins
0750005815,the whitby witches whitby series,robin jarvis,1991,hodder wayland
0758204930,life a la mode,linda lenhoff,2003,strapless
3795116074,waaastenblume,waris dirie,1998,schneekluth
3499129728,karussell des lebens roman,rosamunde pilcher,1991,rowohlt tb.
3462025864,fever pitch ballfieber die geschichte eines fans,nick hornby,2002,kiepenheuer & witsch
0340581239,blindfold,siri hustvedt,1994,trafalgar square
0451411285,sing me home,jerri corgiat,2004,onyx
1928556396,searching for virginia dare: a fools errand,marjorie hudson,2003,coastal carolina
0425181480,bump and run,mike lupica,2001,berkley
0373075286,mclains law premiere silhouette intimate moments no,kylie brant,1993,silhouette
0373291019,angel of the knight historical,diana hall,2000,harlequin
0373482957,tiger prince,sandra brown,1994,silhouette
0385031386,irrational man : a study in existential philosophy,william barrett,1962,anchor
1860463312,miss smillas feeling for snow,peter heg,1997,havill pr
8477201447,el alquimista,paulo coelho,1996,aims intl
0060580208,held captive : the kidnapping and rescue of elizabeth smart,maggie haberman,2003,avon
0964109964,the front runner,patricia nell warren,1996,wildcat
0553251503,soulmates,jess stearn,1990,bantam
0393321096,the abyssinian: a novel,jeanchristophe rufin,2000,w.w. norton & company
038071681X,ghost girl: the true story of a child in peril and the teacher who saved her,torey hayden,1992,avon
0156907380,to the lighthouse,virginia woolf,1978,harvest
1573245038,the little book of letting go: a revolutionary day program to cleanse your mind lift your spirit and replenish your soul,hugh prather,2000,conari
0441231942,crisis on doona,anne mccaffrey,1992,ace
0886773768,sworddancer sword daw fantasy,jennifer roberson,1986,daw
0812536509,pride of lions celtic world of morgan llywelyn,morgan llywelyn,1997,tor
0812553993,lion of ireland celtic world of morgan llywelyn,morgan llywelyn,1996,tor
0679750932,my idea of fun,will self,1995,vintage
0449909050,thinking out loud : on the personal the political the public and the private,anna quindlen,1994,ballantine
014044582X,the last days of socrates: euthyphroapologycritophaedo penguin classics,plato,1995,penguin
0425169375,the best of friends: joanna trollope,joanna trollope,1999,berkley
055357874X,finding mr right,emily carmichael,1999,bantam
0374190771,looking for a ship,john mcphee,1990,farrar straus & giroux
0875425011,charms spells and formulas,ray t malbrough,1986,llewellyn
0875422462,crystal healing: the next step llewellyns new age,phyllis galde,1988,llewellyn
1570627193,confessions of a pagan nun,kate horsley,2001,shambhala
0439313899,conversations with god for teens,neale donald walsch,2002,scholastic
0609608045,may the angels be with you: a psychic helps you find your spirit guides and your true purpose,gary quinn,2001,harmony
1855381125,witch alone: thirteen moons to master natural magic,marian green,1991,aquarian
0738700339,llewellyns magical almanac,bernyce barlow,2001,llewellyn
1932560491,bedtime stories for women,nancy madore,2003,llumina
0590433857,hello mallory,ann m martin,1988,scholastic
0671656589,heaven,v c andrews,1987,pocket
8807813483,in alto a sinistra universale economica feltrinelli,erri de luca,1995,feltrinelli
8806161741,opera sullacqua e altre poesie,erri de luca,2002,einaudi
0864426224,lonely planet paris paris nd ed,daniel robinson,1998,lonely planet
2266067249,lhomme qui murmurait aaa loreille des chevaux,nicholas evans,1997,pocket
2070380742,les courriers de la mort,magnan,1988,editions flammarion
0679404856,dave barry does japan,dave barry,1992,random house
0884042871,death quest mission earth series vol,l ron hubbard,1987,bridge
0828103054,the civil war american heritage library,bruce catton,1985,mariner
0812561589,spotlight,carole bellacera,2001,forge
0670884839,my little blue dress,bruno maddox,2001,viking
0553211234,the pickwick papers,charles dickens,1983,bantam
034066049X,well groomed,fiona walker,1997,coronet
0060969911,get your act together: a day getorganized program for the overworked overbooked and overwhelmed,pam young,1993,perennial
342310516X,wenn ein reisender in einer winternacht,italo calvino,1999,dtv
0330262726,smileys people,john le carre,1980,pan macmillan
0330253565,honourable schoolboy,john le carre,1978,pan
0517881004,the vampire encyclopedia,matthew bunson,1993,crown
1555834310,alec baldwin doesnt love me and other trials of my queer life,michael thomas ford,1998,alyson
0553284347,toxic parents: overcoming their hurtful legacy and reclaiming your life,susan forward,1990,bantam
0060542799,an hour to kill : a novel,karin yapalater,2004,harpertorch
0449148238,buried lives,nancy star,1993,fawcett
1892145057,t bor: tiborocity exhibition,maira kalman,2002,little bookroom
0380896419,injustice for all: a jp beaumont mystery,ja jance,2004,avon
0689849176,just ella,margaret peterson haddix,1999,aladdin
0684870819,chocolate for a teens soul : lifechanging stories for young women about growing wise and growing strong,kay allenbaugh,2000,fireside
1559210869,east wind: west wind buck pearl s oriental novels of pearl s buck th,pearl s buck,1993,moyer bell .
0066212693,good girls gone bad,jillian medoff,2002,william morrow
0373261047,real murders,richard harris,1992,worldwide library
0892967544,first degree,david rosenfelt,2003,mysterious
0399148655,the delicate storm marian wood book,giles blunt,2003,marian wood
0316591122,fear itself: a fearless jones novel,walter mosley,2003,"little, brown"
0060193883,a bloodhound to die for,virginia lanier,2003,harpercollins
0060005556,last to die grippando james,james grippando,2003,harpercollins
0609807420,the business plan for the body,jim karas,2001,three rivers
0312267177,catfish and mandala : a twowheeled voyage through the landscape and memory of vietnam,andrew x pham,2000,picador
0399138439,three complete novels: lightning the face of fear the vision,dean r koontz,1993,putnam
039951743X,the pocket dictionary of signing,rod r butterworth,1992,perigee
0671541749,invasion: the soldiers of fear star trek: the next generation no,dean wesley smith,1996,star trek
0766607208,treasury of illustrated classics: adventures of huckleberry finn,mark twain,2002,modern
0140445145,twilight of the idols and the anti christ penguin classics,rj hollingdale,1990,penguin
0553233890,pilgrim at tinker creek,annie dillard,1982,bantam
0553346083,somewhere off the coast of maine,ann hood,1988,bantam
0140181903,the custom of the country penguin twentiethcentury classics,edith wharton,1990,penguin
0821771116,falling for april zebra historical romance,lisa plumley,2002,zebra
